
Año;Zona;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2011;03. Retiro;460;23;27;37;34;51;68;47;29;43;32;39;30
2011;04. Salamanca;1.367;68;77;107;112;130;119;118;80;109;121;198;128
2011;05. Chamartín;661;64;98;72;92;64;66;32;20;42;48;31;32
2011;06. Tetuán;962;83;77;101;94;84;80;83;63;54;86;75;82
2011;07. Chamberí;1.055;100;111;100;91;121;90;97;68;73;96;57;51
2011;08. Fuencarral-El Pardo;657;28;53;75;75;58;86;33;55;33;54;54;53
2011;09. Moncloa-Aravaca;457;33;58;41;59;40;31;28;30;34;38;41;24
2011;10. Latina;1.135;81;94;137;84;120;111;79;53;85;106;116;69
2011;11. Carabanchel;1.974;145;204;207;220;162;230;141;132;153;172;98;110
2011;12. Usera;1.092;59;109;111;96;90;120;98;84;89;100;73;63
2011;13. Puente de Vallecas;2.209;190;187;205;203;178;234;196;203;184;154;131;144
2011;14. Moratalaz;464;44;38;32;44;63;41;25;20;39;33;42;43
2011;15. Ciudad Lineal;903;64;81;108;86;79;90;70;53;68;83;73;48
2011;16. Hortaleza;255;23;25;26;18;26;20;15;20;21;32;15;14
2011;17. Villaverde;602;50;36;55;65;55;38;45;43;37;87;40;51
2011;18. Villa de Vallecas;431;25;33;52;34;47;25;35;45;53;36;27;19
2011;19. Vicálvaro;172;9;15;9;7;11;20;14;10;11;33;20;13
2011;20. San Blas-Canillejas;433;27;39;47;37;40;33;20;55;35;38;29;33
2011;21. Barajas;208;18;37;21;15;15;33;4;12;16;8;15;14
2011;Otras zonas;18;0;0;3;6;1;3;0;0;3;2;0;0
2012;Ciudad de Madrid;17.746;1.408;1.644;1.805;1.757;1.807;1.779;1.436;1.055;1.125;1.311;1.335;1.284
2012;01. Centro;4.159;346;312;413;399;372;371;347;273;292;332;356;346
2012;02. Arganzuela;743;65;80;97;67;85;64;59;48;25;40;35;78
2012;03. Retiro;377;17;33;49;43;52;36;27;15;32;28;24;21
2012;04. Salamanca;1.327;107;123;110;111;139;150;109;75;84;104;121;94
2012;05. Chamartín;690;37;47;72;53;68;74;59;41;37;87;76;39
